epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6812,1.73854,3.3401,6.81237,1.58679,0.00193,0.1348,0.0013,0.00093,0.0018,0.11755,0.0012,0.00085,2.07388,3.74369,7.01429,1.96528,0.0007,0.0007,0.0007
2,21.526,1.52359,2.88349,4.57907,1.42936,0.30008,0.30643,0.27131,0.16527,0.30531,0.29607,0.26248,0.1571,1.22503,2.28136,2.65378,1.29843,0.00149985,0.00149985,0.00149985
3,26.3572,1.37846,2.25489,2.57204,1.32713,0.55112,0.50313,0.53284,0.34645,0.56806,0.51176,0.53578,0.32318,1.14571,2.02089,2.0736,1.22857,0.00229954,0.00229954,0.00229954
4,31.1872,1.20578,2.00014,1.9259,1.19738,0.53808,0.46082,0.54282,0.30964,0.44314,0.58456,0.54715,0.29178,1.24745,1.90411,1.74033,1.28435,0.00309908,0.00309908,0.00309908
5,35.9701,1.0877,1.76904,1.597,1.11328,0.43987,0.70326,0.57118,0.35068,0.45683,0.71131,0.57554,0.36442,1.19552,1.79827,1.46628,1.19167,0.00389846,0.00389846,0.00389846
6,40.7851,1.14916,1.89743,1.35496,1.12685,0.45945,0.63484,0.56083,0.35616,0.47206,0.65086,0.5662,0.33995,1.2254,1.79354,1.44913,1.20358,0.00469767,0.00469767,0.00469767
7,45.5789,1.13944,1.90453,1.2515,1.12493,0.57772,0.5654,0.5845,0.3919,0.59248,0.59067,0.62559,0.39789,1.15274,1.69039,2.04283,1.14997,0.00549673,0.00549673,0.00549673
8,50.3782,1.10211,1.67849,1.39655,1.10404,0.56363,0.63488,0.65566,0.40945,0.54695,0.62777,0.63623,0.37561,1.17976,1.77842,1.64266,1.16964,0.00629563,0.00629563,0.00629563
9,55.1883,1.07444,1.61352,1.57212,1.05884,0.5708,0.68339,0.63539,0.38264,0.59829,0.71473,0.6696,0.37641,1.13046,1.71466,1.91815,1.16694,0.00709438,0.00709438,0.00709438
10,59.972,1.03627,1.6246,1.3251,1.06764,0.70807,0.53969,0.57839,0.37019,0.69074,0.54398,0.56199,0.35871,1.21608,1.92258,2.93106,1.21996,0.00789296,0.00789296,0.00789296
