epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8905,2.23706,4.02513,7.32451,1.9399,0.00723,0.09312,0.00613,0.00096,0.00716,0.08849,0.00609,0.00348,2.47161,4.90749,11.9444,1.85999,3.75e-05,3.75e-05,3.75e-05
2,18.5354,2.04585,3.28895,11.7624,1.70507,0.0078,0.18995,0.00768,0.0032,0.00736,0.15661,0.01035,0.0065,2.73012,4.74105,9.41491,1.80896,8.74913e-05,8.74913e-05,8.74913e-05
3,21.3282,1.86419,3.35749,4.34136,1.64221,0.60745,0.16667,0.1077,0.06123,0.59302,0.1537,0.10629,0.06276,2.35328,2.50363,9.17776,1.51881,0.000137473,0.000137473,0.000137473
4,24.0648,1.48273,2.44627,3.90769,1.32929,0.53768,0.34735,0.24374,0.13201,0.53596,0.31966,0.2364,0.12159,1.73757,2.47644,4.45682,1.32613,0.000187444,0.000187444,0.000187444
5,26.6866,1.47025,2.64606,3.51939,1.41173,0.52446,0.41682,0.28069,0.17955,0.62263,0.38161,0.28617,0.15449,1.67322,2.55602,4.8854,1.26143,0.000237406,0.000237406,0.000237406
6,29.3022,1.31723,2.44227,2.74332,1.24182,0.33233,0.42308,0.26689,0.16231,0.34661,0.46762,0.29193,0.14568,1.93597,2.43704,3.71565,1.36113,0.000287358,0.000287358,0.000287358
7,31.9323,1.2023,2.26398,2.32687,1.14444,0.3258,0.35759,0.24228,0.15123,0.3223,0.3437,0.25979,0.1438,1.94164,2.46323,3.34658,1.35694,0.0003373,0.0003373,0.0003373
8,34.6062,1.36756,1.95909,2.41687,1.27786,0.35961,0.40654,0.29268,0.17129,0.35275,0.38437,0.29179,0.16116,2.09055,2.78566,3.90022,1.47528,0.000387231,0.000387231,0.000387231
9,37.301,1.15154,2.1824,1.79647,1.22232,0.56453,0.28439,0.26205,0.15052,0.30306,0.37946,0.25445,0.12167,1.69644,2.84838,3.44299,1.31376,0.000437154,0.000437154,0.000437154
10,39.8959,1.34648,2.18432,2.06489,1.27949,0.21215,0.39378,0.25993,0.14357,0.21919,0.42487,0.2646,0.13911,1.55397,2.97805,2.97912,1.22685,0.000487066,0.000487066,0.000487066
11,42.4658,1.14989,2.19122,1.94429,1.16967,0.20758,0.33912,0.24611,0.12505,0.20678,0.32181,0.20215,0.09502,1.52782,3.94062,3.43275,1.26246,0.000536968,0.000536968,0.000536968
12,45.0457,1.24688,2.30316,1.79326,1.18982,0.28027,0.33917,0.27428,0.15414,0.2396,0.32748,0.23911,0.10591,1.42984,3.85782,3.92025,1.24193,0.00058686,0.00058686,0.00058686
13,47.5947,1.07183,2.06676,1.69387,1.09242,0.17724,0.47875,0.24776,0.12718,0.1715,0.43009,0.2064,0.11142,1.87624,5.35636,5.992,1.36167,0.000636743,0.000636743,0.000636743
14,50.1293,1.20763,2.20116,1.93341,1.32386,0.28826,0.20146,0.19867,0.10564,0.26875,0.17553,0.16427,0.07936,1.92658,5.99314,3.74328,1.38744,0.000686615,0.000686615,0.000686615
15,52.7252,1.12751,2.0999,1.48439,1.09532,0.20667,0.32694,0.14058,0.06645,0.2037,0.36025,0.1446,0.0702,1.73085,3.34506,6.82881,1.34658,0.000736478,0.000736478,0.000736478
16,55.2377,1.22918,1.92595,1.87942,1.1706,0.21092,0.3216,0.16214,0.08155,0.21092,0.3216,0.16443,0.07696,1.64271,3.60624,9.49875,1.3425,0.000786331,0.000786331,0.000786331
17,57.7589,1.16217,2.10603,1.58298,1.19315,0.23035,0.16164,0.18718,0.10009,0.26281,0.16822,0.19058,0.09198,1.70039,3.8073,10.4485,1.35876,0.000836173,0.000836173,0.000836173
18,60.3397,1.2052,2.17125,1.54043,1.1941,0.24148,0.21174,0.19304,0.11317,0.23815,0.23572,0.20332,0.10636,1.45342,3.12499,5.65168,1.28974,0.000886006,0.000886006,0.000886006
19,62.845,1.08399,2.07206,1.44029,1.12569,0.16754,0.38128,0.18617,0.10879,0.16499,0.37665,0.18574,0.10001,1.65921,3.11552,5.42953,1.32304,0.000935829,0.000935829,0.000935829
20,65.3745,1.13658,1.77049,1.53872,1.14239,0.47534,0.26291,0.23668,0.14012,0.46751,0.2443,0.21095,0.10799,1.57501,3.62168,3.49582,1.31973,0.000985643,0.000985643,0.000985643
21,67.9642,1.11652,1.95541,1.21924,1.07902,0.55848,0.20701,0.22384,0.12973,0.54064,0.18942,0.1938,0.08805,1.61519,3.85032,2.72813,1.3588,0.00103545,0.00103545,0.00103545
22,70.5506,1.14543,1.95028,1.32955,1.11132,0.45415,0.19433,0.24531,0.14136,0.26545,0.3283,0.24584,0.10189,1.70468,3.66823,3.23364,1.48225,0.00108524,0.00108524,0.00108524
